"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Astral Ltd,58429,1,"2024-03-31",1,1,RNTS,56414.0,Net Sales,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,10,SREV,56414.0,Revenue,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,31,RTLR,56414.0,Total Revenue,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,34,ECOR,35777.0,Cost of Revenue,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,36,SCOR,35777.0,"Cost of Revenue, Total",M,1,1
Astral Ltd,58429,1,"2024-03-31",1,37,SGRP,20637.0,Gross Profit,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,52,ESGA,4569.0,Selling/General/Administrative Expense,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,53,ELAR,4386.0,Labor & Related Expense,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,54,EADV,2249.0,Advertising Expense,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,55,SSGA,11204.0,"Selling/General/Admin. Expenses, Total",M,1,1
Astral Ltd,58429,1,"2024-03-31",1,57,EDEP,1624.0,Depreciation,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,58,EAMI,352.0,Amortization of Intangibles,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,60,SDPR,1976.0,Depreciation/Amortization,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,73,EUIE,0.0,Other Unusual Expense (Income),M,1,1
Astral Ltd,58429,1,"2024-03-31",1,74,SUIE,0.0,Unusual Expense (Income),M,1,1
Astral Ltd,58429,1,"2024-03-31",1,80,EOOE,181.0,Other Operating Expense,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,82,SOOE,181.0,"Other Operating Expenses, Total",M,1,1
Astral Ltd,58429,1,"2024-03-31",1,83,ETOE,49138.0,Total Operating Expense,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,84,SOPI,7276.0,Operating Income,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,85,NIEN,-220.0,Interest Expense - Non-Operating,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,87,SIEN,-220.0,"Interest Expense, Net Non-Operating",M,1,1
Astral Ltd,58429,1,"2024-03-31",1,88,NIIN,42.0,Interest Income - Non-Operating,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,89,NINV,299.0,Investment Income - Non-Operating,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,90,SIIN,341.0,Interest/Invest Income -  Non-Operating,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,92,NGLA,-64.0,Gain (Loss) on Sale of Assets,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,126,NONT,3.0,Other Non-Operating Income (Expense),M,1,1
Astral Ltd,58429,1,"2024-03-31",1,127,SONT,3.0,"Other, Net",M,1,1
Astral Ltd,58429,1,"2024-03-31",1,128,EIBT,7336.0,Net Income Before Taxes,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,129,TTAX,1880.0,Provision for Income Taxes,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,130,TIAT,5456.0,Net Income After Taxes,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,131,CMIN,5.0,Minority Interest,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,134,NIBX,5461.0,Net Income Before Extra. Items,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,136,XIDO,0.0,Discontinued Operations,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,138,XSIT,0.0,Tax on Extraordinary Items,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,139,STXI,0.0,Total Extraordinary Items,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,140,NINC,5461.0,Net Income,M,1,1
Astral Ltd,58429,1,"2024-03-31",1,147,CIAC,5461.0,Income Available to Com Excl ExtraOrd,M,1,1
