"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,1,RNTS,16941.0,Net Sales,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,10,SREV,16941.0,Revenue,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,31,RTLR,16941.0,Total Revenue,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,34,ECOR,7629.1,Cost of Revenue,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,36,SCOR,7629.1,"Cost of Revenue, Total",M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,37,SGRP,9311.9,Gross Profit,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,52,ESGA,1546.2,Selling/General/Administrative Expense,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,53,ELAR,1504.9,Labor & Related Expense,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,55,SSGA,3051.1,"Selling/General/Admin. Expenses, Total",M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,56,ERAD,737.2,Research & Development,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,57,EDEP,509.8,Depreciation,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,58,EAMI,24.6,Amortization of Intangibles,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,60,SDPR,534.4,Depreciation/Amortization,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,83,ETOE,11951.8,Total Operating Expense,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,84,SOPI,4989.2,Operating Income,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,85,NIEN,-7.8,Interest Expense - Non-Operating,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,87,SIEN,-7.8,"Interest Expense, Net Non-Operating",M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,88,NIIN,472.8,Interest Income - Non-Operating,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,89,NINV,144.8,Investment Income - Non-Operating,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,90,SIIN,617.6,Interest/Invest Income -  Non-Operating,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,92,NGLA,-6.5,Gain (Loss) on Sale of Assets,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,126,NONT,51.8,Other Non-Operating Income (Expense),M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,127,SONT,51.8,"Other, Net",M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,128,EIBT,5644.3,Net Income Before Taxes,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,129,TTAX,1030.1,Provision for Income Taxes,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,130,TIAT,4614.2,Net Income After Taxes,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,131,CMIN,-43.3,Minority Interest,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,134,NIBX,4570.9,Net Income Before Extra. Items,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,140,NINC,4570.9,Net Income,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,147,CIAC,4570.9,Income Available to Com Excl ExtraOrd,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,148,XNIC,4570.9,Income Available to Com Incl ExtraOrd,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,149,SBAS,75.93549,Basic Weighted Average Shares,M,0,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,150,SBBF,60.19452,Basic EPS Excluding Extraordinary Items,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,151,SBAI,60.19452,Basic EPS Including Extraordinary Items,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,153,SDNI,4570.9,Diluted Net Income,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,154,SDWS,76.30931,Diluted Weighted Average Shares,M,0,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,155,SDBF,59.89964,Diluted EPS Excluding ExtraOrd Items,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,156,SDAI,59.89964,Diluted EPS Including ExtraOrd Items,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,157,DDPS1,5.0,DPS - Common Stock Primary Issue,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,171,VIEX,7.8,"Interest Expense, Supplemental",M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,173,VDEP,509.8,"Depreciation, Supplemental",M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,175,STSI,6.5,Total Special Items,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,176,VPTI,5650.8,Normalized Income Before Taxes,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,177,STEC,1.18627,Effect of Special Items on Income Taxes,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,178,VITN,1031.28627,Inc Tax Ex Impact of Sp Items,M,1,1
Caplin Point Laboratories Ltd,74096,1,"2024-03-31",1,179,VIAT,4619.51373,Normalized Income After Taxes,M,1,1
