"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,1,RNTS,38304.542,Net Sales,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,10,SREV,38304.542,Revenue,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,31,RTLR,38304.542,Total Revenue,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,34,ECOR,23638.68,Cost of Revenue,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,36,SCOR,23638.68,"Cost of Revenue, Total",M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,37,SGRP,14665.862,Gross Profit,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,52,ESGA,1200.374,Selling/General/Administrative Expense,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,53,ELAR,3862.84,Labor & Related Expense,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,54,EADV,108.187,Advertising Expense,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,55,SSGA,5171.401,"Selling/General/Admin. Expenses, Total",M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,57,EDEP,711.373,Depreciation,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,58,EAMI,92.106,Amortization of Intangibles,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,60,SDPR,803.479,Depreciation/Amortization,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,73,EUIE,0.0,Other Unusual Expense (Income),M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,74,SUIE,0.0,Unusual Expense (Income),M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,80,EOOE,164.693,Other Operating Expense,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,81,EONT,239.764,"Other, Net",M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,82,SOOE,404.457,"Other Operating Expenses, Total",M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,83,ETOE,30018.017,Total Operating Expense,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,84,SOPI,8286.525,Operating Income,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,85,NIEN,-419.29,Interest Expense - Non-Operating,M,1,1
Cochin Shipyard Ltd,91883,1,"2024-03-31",1,86,NCIN,166.123,Interest Capitalized - Non-Operating,M,1,1
