"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,1,RNTS,19339.145,Net Sales,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,10,SREV,19339.145,Revenue,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,31,RTLR,19339.145,Total Revenue,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,34,ECOR,7987.549,Cost of Revenue,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,36,SCOR,7987.549,"Cost of Revenue, Total",M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,37,SGRP,11351.596,Gross Profit,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,52,ESGA,2385.429,Selling/General/Administrative Expense,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,53,ELAR,4108.015,Labor & Related Expense,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,54,EADV,743.847,Advertising Expense,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,55,SSGA,7237.291,"Selling/General/Admin. Expenses, Total",M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,57,EDEP,714.742,Depreciation,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,58,EAMI,394.512,Amortization of Intangibles,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,60,SDPR,1109.254,Depreciation/Amortization,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,65,EINV,4.337,Investment Income - Operating,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,66,SIIO,4.337,Interest/Investment Income - Operating,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,71,EIAU,967.007,Impairment-Assets Held for Use,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,73,EUIE,0.0,Other Unusual Expense (Income),M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,74,SUIE,967.007,Unusual Expense (Income),M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,80,EOOE,447.451,Other Operating Expense,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,81,EONT,-13.529,"Other, Net",M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,82,SOOE,433.922,"Other Operating Expenses, Total",M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,83,ETOE,17739.36,Total Operating Expense,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,84,SOPI,1599.785,Operating Income,M,1,1
Jagran Prakashan Ltd,51354,1,"2024-03-31",1,85,NIEN,-243.358,Interest Expense - Non-Operating,M,1,1
