"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Steel Authority of India Ltd,26244,1,"2024-03-31",1,1,RNTS,1053783.3,Net Sales,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,10,SREV,1053783.3,Revenue,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,31,RTLR,1053783.3,Total Revenue,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,34,ECOR,736013.5,Cost of Revenue,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,36,SCOR,736013.5,"Cost of Revenue, Total",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,37,SGRP,317769.8,Gross Profit,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,52,ESGA,80091.0,Selling/General/Administrative Expense,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,53,ELAR,117657.2,Labor & Related Expense,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,55,SSGA,197748.2,"Selling/General/Admin. Expenses, Total",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,57,EDEP,52287.5,Depreciation,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,58,EAMI,495.8,Amortization of Intangibles,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,60,SDPR,52783.3,Depreciation/Amortization,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,65,EINV,0.4,Investment Income - Operating,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,66,SIIO,0.4,Interest/Investment Income - Operating,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,71,EIAU,0.0,Impairment-Assets Held for Use,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,73,EUIE,3943.9,Other Unusual Expense (Income),M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,74,SUIE,3943.9,Unusual Expense (Income),M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,80,EOOE,8454.9,Other Operating Expense,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,82,SOOE,8454.9,"Other Operating Expenses, Total",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,83,ETOE,998944.2,Total Operating Expense,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,84,SOPI,54839.1,Operating Income,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,85,NIEN,-1293.8,Interest Expense - Non-Operating,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,87,SIEN,-1293.8,"Interest Expense, Net Non-Operating",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,88,NIIN,3165.2,Interest Income - Non-Operating,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,89,NINV,2376.6,Investment Income - Non-Operating,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,90,SIIN,5541.8,Interest/Invest Income -  Non-Operating,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,92,NGLA,1300.0,Gain (Loss) on Sale of Assets,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,126,NONT,-19769.0,Other Non-Operating Income (Expense),M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,127,SONT,-19769.0,"Other, Net",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,128,EIBT,40618.1,Net Income Before Taxes,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,129,TTAX,9951.4,Provision for Income Taxes,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,130,TIAT,30666.7,Net Income After Taxes,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,131,CMIN,0.0,Minority Interest,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,134,NIBX,30666.7,Net Income Before Extra. Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,140,NINC,30666.7,Net Income,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,147,CIAC,30666.7,Income Available to Com Excl ExtraOrd,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,148,XNIC,30666.7,Income Available to Com Incl ExtraOrd,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,149,SBAS,4130.52529,Basic Weighted Average Shares,M,0,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,150,SBBF,7.42441,Basic EPS Excluding Extraordinary Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,151,SBAI,7.42441,Basic EPS Including Extraordinary Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,153,SDNI,30666.7,Diluted Net Income,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,154,SDWS,4130.52529,Diluted Weighted Average Shares,M,0,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,155,SDBF,7.42441,Diluted EPS Excluding ExtraOrd Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,156,SDAI,7.42441,Diluted EPS Including ExtraOrd Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,157,DDPS1,2.0,DPS - Common Stock Primary Issue,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,165,DCGD,8261.0,Gross Dividends - Common Stock,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,171,VIEX,1293.8,"Interest Expense, Supplemental",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,172,VCAP,-1833.8,"Interest Capitalized, Supplemental",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,173,VDEP,52287.5,"Depreciation, Supplemental",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,175,STSI,2643.9,Total Special Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,176,VPTI,43262.0,Normalized Income Before Taxes,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,177,STEC,647.75325,Effect of Special Items on Income Taxes,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,178,VITN,10599.15325,Inc Tax Ex Impact of Sp Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,179,VIAT,32662.84675,Normalized Income After Taxes,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,180,VIAC,32662.84675,Normalized Inc. Avail to Com.,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,181,VBES,7.90767,Basic Normalized EPS,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,182,VDES,7.90767,Diluted Normalized EPS,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,184,VAMI,495.8,"Amort of Intangibles, Supplemental",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,185,VRXP,25.1,"Rental Expense, Supplemental",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,188,VEIA,4386.1,"Equity in Affiliates, Supplemental",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,189,VMIN,0.0,"Minority Interest, Supplemental",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,190,VRAD,2394.7,"Research & Development Exp, Supplemental",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,191,VTAU,27.4,Audit Fees,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,193,VTTF,7.7,Tax Fees,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,194,VTOF,24.2,All Other Fees,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,209,SGPP,30.15514,Gross Margin,M,0,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,210,SOPP,5.20402,Operating Margin,M,0,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,211,SPTM,3.8545,Pretax Margin,M,0,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,212,SETR,24.49992,Effective Tax Rate,M,0,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,213,SNPM,2.91015,Net Profit Margin,M,0,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,214,SBIT,58783.4,Normalized EBIT,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,215,SBDA,111566.7,Normalized EBITDA,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,221,VCTR,6127.9,Current Tax - Total,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,222,VCTC,6127.9,Current Tax - Total,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,227,VDTR,3823.5,Deferred Tax - Total,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,228,VDTC,3823.5,Deferred Tax - Total,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,233,VITT,9951.4,Income Tax - Total,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,239,VICD,-454.8,Interest Cost - Domestic,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,240,VSCD,2735.3,Service Cost - Domestic,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,242,VXPD,-735.8,Expected Return on Assets - Domestic,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,243,VXAG,-990.6,Actuarial Gains and Losses - Domestic,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,247,VDPP,554.1,Domestic Pension Plan Expense,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,257,VPIC,1279.1,Interest Cost - Post-Retirement,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,261,VXAL,3776.9,Actuarial Gains and Losses - Post-Retir.,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,265,VRPE,5056.0,Post-Retirement Plan Expense,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,269,VTPE,5610.1,Total Pension Expense,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,282,STPI,824.3,Total Plan Interest Cost,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,283,STPS,2735.3,Total Plan Service Cost,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,284,STPE,-735.8,Total Plan Expected Return,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,371,SPIG,426000.0,Iron Ore Production (Metric Tonnes),M,0,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,998,SINN,0.4,"Interest Exp.(Inc.),Net-Operating, Total",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,999,SNIN,4248.0,"Interest Inc.(Exp.),Net-Non-Op., Total",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,1068,VLAR,117657.2,Labor & Related Expense Suppl.,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,1108,SPTG,18732913.85,Steel Production (Metric Tons),M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,1130,VDRU,4405.4,"Depreciation of Right-of-Use Assets,Sup.",M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",1,1167,VFLE,10389.7,Variable Financial Lease Expenses,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",2,834,ONET,40618.1,Net Income/Starting Line,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",2,835,SDEP,52783.7,Depreciation,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",2,837,SDED,52783.7,Depreciation/Depletion,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",2,846,OUIE,-1300.0,Unusual Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",2,848,OEIA,-4386.1,Equity in Net Earnings (Loss),M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",2,849,ONCI,18924.5,Other Non-Cash Items,M,1,1
Steel Authority of India Ltd,26244,1,"2024-03-31",2,850,SNCI,13238.4,Non-Cash Items,M,1,1
