"Ticker","Name","Period","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,12,RPRE,463226.5,Net Premiums Earned,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,13,ROIR,66135.7,Other Insurance Revenue,M,1,1
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,13,ROIR,240.8,Other Insurance Revenue,M,1,0
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,15,SPRE,240.8,Total Premiums Earned,M,1,0
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,15,SPRE,529362.2,Total Premiums Earned,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,16,RNII,539511.7,Net Investment Income,M,1,1
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,16,RNII,16641.1,Net Investment Income,M,1,0
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,17,RRGL,90.1,Realized Gains (Losses),M,1,0
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,17,RRGL,12990.0,Realized Gains (Losses),M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,27,RNIR,6551.2,Other Non-Insurance Revenue,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,30,SORE,6551.2,"Other Revenue, Total",M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,31,RTLR,1088415.1,Total Revenue,M,1,1
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,31,RTLR,16972.0,Total Revenue,M,1,0
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,47,ELBA,320857.5,"Losses, Benefits, and Adjustments",M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,49,ERII,95631.4,Reinsurance - Expense,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,50,SLBA,416488.9,"Losses, Benefits, and Adjustments, Total",M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,52,ESGA,109722.6,Selling/General/Administrative Expense,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,53,ELAR,103770.7,Labor & Related Expense,M,1,1
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,53,ELAR,1268.3,Labor & Related Expense,M,1,0
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,54,EADV,12644.4,Advertising Expense,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,55,SSGA,226137.7,"Selling/General/Admin. Expenses, Total",M,1,1
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,55,SSGA,1268.3,"Selling/General/Admin. Expenses, Total",M,1,0
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,57,EDEP,33.5,Depreciation,M,1,0
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,57,EDEP,6420.7,Depreciation,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,58,EAMI,2572.5,Amortization of Intangibles,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,60,SDPR,8993.2,Depreciation/Amortization,M,1,1
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,60,SDPR,33.5,Depreciation/Amortization,M,1,0
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,72,EIAS,46335.8,Impairment-Assets Held for Sale,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,74,SUIE,46335.8,Unusual Expense (Income),M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,80,EOOE,8039.0,Other Operating Expense,M,1,1
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,80,EOOE,645.9,Other Operating Expense,M,1,0
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,82,SOOE,645.9,"Other Operating Expenses, Total",M,1,0
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,82,SOOE,8039.0,"Other Operating Expenses, Total",M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,83,ETOE,705994.6,Total Operating Expense,M,1,1
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,83,ETOE,1947.7,Total Operating Expense,M,1,0
,Bajaj Finserv Ltd (Parent),2024-03-31 00:00:00.000,84,SOPI,15024.3,Operating Income,M,1,0
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,84,SOPI,382420.5,Operating Income,M,1,1
BAJAJFINSV,Bajaj Finserv Ltd,2024-03-31 00:00:00.000,85,NIEN,-183751.1,Interest Expense - Non-Operating,M,1,1
