"Name","Type_","Period_","Measure_Code","Measure_Desc","UnitType","Curr","Value_"
Astral Ltd,Year,2025,BVPS,Book Value Per Share,Currency,INR,140.47046
Astral Ltd,Year,2025,TOTDIV,Total Dividends,Currency,INR,1160.4
Astral Ltd,Year,2025,OPREXP,Operating Expense,Currency,INR,55601.83333
Astral Ltd,Year,2025,TAXPROV,Tax Provision,Currency,INR,2310.35714
Astral Ltd,Year,2025,EPSREP,As Reported EPS,Currency,INR,25.28344
Astral Ltd,Year,2025,TAXRATE,Tax Rate,Percentage,,25.48571
Astral Ltd,Year,2025,NAV,Net Assets Value,Currency,INR,37974.97723
Astral Ltd,Year,2025,GPM,Gross Margin (Gross Profit Margin),Percentage,,38.655
Astral Ltd,Year,2025,INTEXP,Interest Expense,Currency,INR,280.06667
Astral Ltd,Year,2025,PPROFITREP,Reported Pretax Profit,Currency,INR,9019.42857
Astral Ltd,Year,2025,OPROFIT,Operating Profit,Currency,INR,10251.0
Astral Ltd,Year,2025,SELLEXP,Selling & Marketing Expense,Currency,INR,1938.0
Astral Ltd,Year,2025,TBV,Tangible Book Value,Currency,INR,36377.187
Astral Ltd,Year,2025,CURRASSETS,Current Assets,Currency,INR,23717.0
Astral Ltd,Year,2025,SEQUITY,Shareholders Equity,Currency,INR,37854.8125
Astral Ltd,Year,2025,EPSCASH,Cash EPS,Currency,INR,32.84
Astral Ltd,Year,2025,TA,Total Assets,Currency,INR,47655.42857
Astral Ltd,Year,2025,DPS,Dividend Per Share,Currency,INR,3.966
Astral Ltd,Year,2025,NDEBT,Net Debt,Currency,INR,-8160.59733
Astral Ltd,Year,2025,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,8536.75
Astral Ltd,Year,2025,NPROFIT,Net Income,Currency,INR,6789.617
Astral Ltd,Year,2025,TOTDEBT,Total Debt,Currency,INR,873.6
Astral Ltd,Year,2025,SBC,Stock Based Compensation,Currency,INR,0.0
Astral Ltd,Year,2025,CURRLIAB,Current Liabilities,Currency,INR,12550.0
Astral Ltd,Year,2025,TCOMPRATIO,Total Compensation Expense,Currency,INR,5024.6
Astral Ltd,Year,2025,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,8938.82975
Astral Ltd,Year,2025,CFPS,Cash Flow Per Share,Currency,INR,30.86
Astral Ltd,Year,2025,TOTALLIAB,Total Liabilities ,Currency,INR,26185.625
Astral Ltd,Year,2025,ROA,Return on Assets,Percentage,,13.483
