"Name","Type_","Period_","Measure_Code","Measure_Desc","UnitType","Curr","Value_"
Cochin Shipyard Ltd,Year,2025,BVPS,Book Value Per Share,Currency,INR,209.5
Cochin Shipyard Ltd,Year,2025,TOTDIV,Total Dividends,Currency,INR,3516.0
Cochin Shipyard Ltd,Year,2025,OPREXP,Operating Expense,Currency,INR,36937.5
Cochin Shipyard Ltd,Year,2025,TAXRATE,Tax Rate,Percentage,,25.6
Cochin Shipyard Ltd,Year,2025,EPSREP,As Reported EPS,Currency,INR,28.55
Cochin Shipyard Ltd,Year,2025,TAXPROV,Tax Provision,Currency,INR,2574.5
Cochin Shipyard Ltd,Year,2025,NAV,Net Assets Value,Currency,INR,55117.5
Cochin Shipyard Ltd,Year,2025,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,62413.0
Cochin Shipyard Ltd,Year,2025,INTEXP,Interest Expense,Currency,INR,320.5
Cochin Shipyard Ltd,Year,2025,PPROFITREP,Reported Pretax Profit,Currency,INR,10087.0
Cochin Shipyard Ltd,Year,2025,SEQUITY,Shareholders Equity,Currency,INR,55117.5
Cochin Shipyard Ltd,Year,2025,DPS,Dividend Per Share,Currency,INR,11.6
Cochin Shipyard Ltd,Year,2025,REV,Sales,Currency,INR,46174.0
Cochin Shipyard Ltd,Year,2025,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,8858.0
Cochin Shipyard Ltd,Year,2025,NPROFIT,Net Income,Currency,INR,7513.0
Cochin Shipyard Ltd,Year,2025,CURRLIAB,Current Liabilities,Currency,INR,70249.0
Cochin Shipyard Ltd,Year,2025,ROE,Return On Equity,Percentage,,14.25
Cochin Shipyard Ltd,Year,2025,CURRASSETS,Current Assets,Currency,INR,75557.0
Cochin Shipyard Ltd,Year,2025,PPROFIT,Pretax Profit,Currency,INR,10087.0
Cochin Shipyard Ltd,Year,2025,EBITDA,Earnings Before Interest Taxes and Depreciation & Amortization,Currency,INR,9236.5
Cochin Shipyard Ltd,Year,2025,FCF,Free Cash Flow,Currency,INR,18562.0
Cochin Shipyard Ltd,Year,2025,EPS,Earnings Per Share,Currency,INR,28.55
Cochin Shipyard Ltd,Year,2025,NOSHAREOUT,Number of Shares Outstanding,Shares,,263.0
Cochin Shipyard Ltd,Year,2025,CAPEX,Capital Expenditures,Currency,INR,24404.0
Cochin Shipyard Ltd,Year,2025,CFINVEST,Cash Flow from Investing,Currency,INR,-12625.5
Cochin Shipyard Ltd,Year,2025,CFOPERAT,Cash Flow from Operations,Currency,INR,37693.0
Cochin Shipyard Ltd,Year,2025,DEPAMORT,Depreciation & Amortization,Currency,INR,2085.0
Cochin Shipyard Ltd,Year,2025,DEPREC,Depreciation,Currency,INR,1121.5
Cochin Shipyard Ltd,Year,2025,NPROFITREP,Reported Net Profit,Currency,INR,7513.0
Cochin Shipyard Ltd,Year,2025,INVENTORY,Inventory,Currency,INR,5892.0
Cochin Shipyard Ltd,Year,2025,INCTAX,Income Taxes Paid,Currency,INR,2574.5
Cochin Shipyard Ltd,Year,2025,CFFINANCE,Cash Flow from Financing,Currency,INR,-6999.0
Cochin Shipyard Ltd,Year,2025,NWC,Net Working Capital,Currency,INR,15782.0
Cochin Shipyard Ltd,Year,2025,ROIC,Return on Invested Capital,Percentage,,-111.0
Cochin Shipyard Ltd,Year,2026,CURRLIAB,Current Liabilities,Currency,INR,78866.0
Cochin Shipyard Ltd,Year,2026,ROIC,Return on Invested Capital,Percentage,,-84.3
Cochin Shipyard Ltd,Year,2026,DPS,Dividend Per Share,Currency,INR,13.0
Cochin Shipyard Ltd,Year,2026,NPROFITREP,Reported Net Profit,Currency,INR,8198.0
Cochin Shipyard Ltd,Year,2026,EPS,Earnings Per Share,Currency,INR,31.15
Cochin Shipyard Ltd,Year,2026,DEPREC,Depreciation,Currency,INR,622.0
Cochin Shipyard Ltd,Year,2026,EBITDA,Earnings Before Interest Taxes and Depreciation & Amortization,Currency,INR,10156.5
Cochin Shipyard Ltd,Year,2026,INCTAX,Income Taxes Paid,Currency,INR,2808.5
Cochin Shipyard Ltd,Year,2026,CURRASSETS,Current Assets,Currency,INR,86633.0
Cochin Shipyard Ltd,Year,2026,INVENTORY,Inventory,Currency,INR,7615.0
Cochin Shipyard Ltd,Year,2026,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,9461.5
Cochin Shipyard Ltd,Year,2026,CFFINANCE,Cash Flow from Financing,Currency,INR,-8309.0
Cochin Shipyard Ltd,Year,2026,PPROFITREP,Reported Pretax Profit,Currency,INR,11006.5
Cochin Shipyard Ltd,Year,2026,DEPAMORT,Depreciation & Amortization,Currency,INR,2558.5
Cochin Shipyard Ltd,Year,2026,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,70860.0
Cochin Shipyard Ltd,Year,2026,CFINVEST,Cash Flow from Investing,Currency,INR,-4285.5
Cochin Shipyard Ltd,Year,2026,TAXPROV,Tax Provision,Currency,INR,2808.5
Cochin Shipyard Ltd,Year,2026,CFOPERAT,Cash Flow from Operations,Currency,INR,22958.5
Cochin Shipyard Ltd,Year,2026,TOTDIV,Total Dividends,Currency,INR,3877.0
Cochin Shipyard Ltd,Year,2026,CAPEX,Capital Expenditures,Currency,INR,7189.0
Cochin Shipyard Ltd,Year,2026,NOSHAREOUT,Number of Shares Outstanding,Shares,,263.0
Cochin Shipyard Ltd,Year,2026,NWC,Net Working Capital,Currency,INR,14472.0
Cochin Shipyard Ltd,Year,2026,ROE,Return On Equity,Percentage,,14.25
Cochin Shipyard Ltd,Year,2026,NAV,Net Assets Value,Currency,INR,60235.0
Cochin Shipyard Ltd,Year,2026,FCF,Free Cash Flow,Currency,INR,20592.0
Cochin Shipyard Ltd,Year,2026,SEQUITY,Shareholders Equity,Currency,INR,60235.0
Cochin Shipyard Ltd,Year,2026,PPROFIT,Pretax Profit,Currency,INR,11006.5
Cochin Shipyard Ltd,Year,2026,NPROFIT,Net Income,Currency,INR,8198.0
Cochin Shipyard Ltd,Year,2026,REV,Sales,Currency,INR,53372.5
Cochin Shipyard Ltd,Year,2026,INTEXP,Interest Expense,Currency,INR,314.5
Cochin Shipyard Ltd,Year,2026,EPSREP,As Reported EPS,Currency,INR,31.15
Cochin Shipyard Ltd,Year,2026,BVPS,Book Value Per Share,Currency,INR,228.95
