"Ticker","Name","Period","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,11,RPRW,630815.579,Gross Premiums Written,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,12,RPRE,1968.682,Net Premiums Earned,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,13,ROIR,5248.12,Other Insurance Revenue,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,14,RRII,-11663.723,Reinsurance - Income,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,15,SPRE,626368.658,Total Premiums Earned,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,16,RNII,166542.491,Net Investment Income,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,17,RRGL,101868.02,Realized Gains (Losses),M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,31,RTLR,894779.169,Total Revenue,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,47,ELBA,890027.924,"Losses, Benefits, and Adjustments",M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,48,EUAC,52620.861,Underwriting & Commissions,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,49,ERII,-7781.842,Reinsurance - Expense,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,50,SLBA,934866.943,"Losses, Benefits, and Adjustments, Total",M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,52,ESGA,16889.535,Selling/General/Administrative Expense,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,53,ELAR,32941.119,Labor & Related Expense,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,54,EADV,17791.859,Advertising Expense,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,55,SSGA,67622.513,"Selling/General/Admin. Expenses, Total",M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,57,EDEP,787.517,Depreciation,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,60,SDPR,787.517,Depreciation/Amortization,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,61,EIEX,689.083,Interest Expense - Operating,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,63,SIEO,689.083,"Interest Expense, Net - Operating",M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,72,EIAS,-828.207,Impairment-Assets Held for Sale,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,74,SUIE,-828.207,Unusual Expense (Income),M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,80,EOOE,-124055.343,Other Operating Expense,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,82,SOOE,-124055.343,"Other Operating Expenses, Total",M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,83,ETOE,879082.506,Total Operating Expense,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,84,SOPI,15696.663,Operating Income,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,128,EIBT,15696.663,Net Income Before Taxes,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,129,TTAX,-44.157,Provision for Income Taxes,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,130,TIAT,15740.82,Net Income After Taxes,M,1,1
HDFCLIFE,HDFC Life Insurance Company Ltd,2024-03-31 00:00:00.000,134,NIBX,15740.82,Net Income Before Extra. Items,M,1,1
