"Ticker","Name_","Type_","Period_","EffectiveDate","ExpireDate","Measure_Code","Measure_Desc","UnitType","Curr","Value_","NumIncEsts"
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,BVPS,Book Value Per Share,Currency,INR,644.58768,34
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 15:44:00.000,,EPSCASH,Cash EPS,Currency,INR,93.939,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-31 06:19:00.000,,DPS,Dividend Per Share,Currency,INR,20.62454,26
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,1029219.39286,28
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-31 06:19:00.000,,EPS,Earnings Per Share,Currency,INR,89.58079,38
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-31 06:19:00.000,,EPSREP,As Reported EPS,Currency,INR,89.50847,34
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,NAV,Net Assets Value,Currency,INR,4924350.30407,27
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,NPROFIT,Net Income,Currency,INR,680999.11366,38
HDFCBANK,HDFC Bank Ltd,Year,2025,2023-09-28 20:06:00.000,,OPROFIT,Operating Profit,Currency,INR,1236400.0,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,PPROFIT,Pretax Profit,Currency,INR,898763.48158,36
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,ROA,Return on Assets,Percentage,,1.80084,32
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,ROE,Return On Equity,Percentage,,14.58786,36
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,REV,Sales,Currency,INR,1725902.39063,35
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,NPROFITREP,Reported Net Profit,Currency,INR,681643.98613,32
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,TBVPS,Tangible Book Value Per Share,Currency,INR,632.53346,26
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,PPROFITREP,Reported Pretax Profit,Currency,INR,897685.77339,28
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,OPREXP,Operating Expense,Currency,INR,703963.78571,28
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-07-22 00:45:00.000,,AUM,Assets Under Management,Currency,INR,655000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-08-14 22:31:56.687,,TIER1,Core Tier 1 Capital,Currency,INR,14.8,7
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-25 16:49:00.000,,TOTDEP,Total Deposits,Currency,INR,27682408.89655,29
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-25 16:49:00.000,,INTEXP,Interest Expense,Currency,INR,1741861.88235,17
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 22:45:27.393,,LOANS,Loans,Currency,INR,26992877.69231,26
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-07-22 14:14:00.000,,AVGLOAN,Net Charge-offs/Average Loans,Percentage,,0.6,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-25 16:49:00.000,,NII,Net Interest Income,Currency,INR,1255053.51724,29
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 13:52:00.000,,NIS,Net Interest Spread,Percentage,,3.27,6
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,FCI,Fees & Commissions Income,Currency,INR,368348.66667,9
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-20 20:14:00.000,,NPA,Non-Performing Assets,Currency,INR,58671.82857,7
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-20 16:08:00.000,,NPL,Non-Performing Loans,Currency,INR,225059.85,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-20 20:14:00.000,,RWA,Risk Weighted Assets,Currency,INR,27058564,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 08:29:00.000,,T1C,Tier 1 Capital Ratio,Percentage,,17.32222,9
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-07 07:47:00.000,,CUSDEP,Customer Deposits under Total Deposits,Currency,INR,1133000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,TNIR,Total non-interest Revenue,Currency,INR,469020.91667,24
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 11:00:00.000,,TRAINC,Trading Income,Currency,INR,15862.5,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-20 22:54:20.107,,SIC,Securities in Issue under Total Deposits,Currency,INR,7221832.0,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,SEQUITY,Shareholders Equity,Currency,INR,4953929.29183,18
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-08-14 22:31:56.687,,TBV,Tangible Book Value,Currency,INR,2795649.013,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,TA,Total Assets,Currency,INR,39908085.96429,28
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,TOTINC,Total Income,Currency,INR,1730260.7037,27
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,EFFRATIO,Efficiency Ratio,Percentage,,40.58947,19
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-20 20:14:00.000,,NIE,Non-Interest Expense,Currency,INR,726623.5,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-02-13 23:34:00.813,,NRECITEM,Non-recurring items,Currency,INR,0.0,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-25 16:49:00.000,,NIM,Net Interest Margin,Percentage,,3.57111,27
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-11-05 19:06:00.000,,LLP,Loan Loss Provisions,Currency,INR,127061.03704,27
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-22 05:23:00.000,,NAVPS,NAV per Share,Currency,INR,645.161,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-25 16:49:00.000,,TCOMPRATIO,Total Compensation Expense,Currency,INR,243817.64706,17
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-08-19 09:13:00.000,,DEPAMORT,Depreciation & Amortization,Currency,INR,0.01,1
HDFCBANK,HDFC Bank Ltd,Year,2025,2023-04-17 11:05:00.000,,INVENTORY,Inventory,Currency,INR,21107.5,2
HDFCBANK,HDFC Bank Ltd,Year,2025,2024-10-21 11:00:00.000,,NOSHAREOUT,Number of Shares Outstanding,Shares,,8994.19778,9
