"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,18,RFLI,581449.837,Interest & Fees on Loans,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,19,RISI,115977.548,Interest & Dividends on Investment Secs.,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,21,RDPT,4596.435,Interest on Deposits,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,22,ROII,12703.835,Other Interest Income,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,25,SIIB,714727.655,"Interest Income, Bank",M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,40,EIOD,423959.308,Interest on Deposit,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,43,STIE,423959.308,Total Interest Expense,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,44,ENII,290768.347,Net Interest Income,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,45,ELLP,135116.432,Loan Loss Provision,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,46,SIAP,155651.915,Net Interest Inc. After Loan Loss Prov.,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,106,NORU,181662.594,Other Revenue,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,107,SNII,181662.594,"Non-Interest Income, Bank",M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,108,NLAR,-69361.899,Labor & Related Expenses,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,121,NOEX,-110326.541,Other Expense,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,122,SNIE,-179688.44,"Non-Interest Expense, Bank",M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,128,EIBT,157626.069,Net Income Before Taxes,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,129,TTAX,-7492.516,Provision for Income Taxes,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,130,TIAT,165118.585,Net Income After Taxes,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,134,NIBX,165118.585,Net Income Before Extra. Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,140,NINC,165118.585,Net Income,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,147,CIAC,165118.585,Income Available to Com Excl ExtraOrd,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,148,XNIC,165118.585,Income Available to Com Incl ExtraOrd,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,149,SBAS,7592.85762,Basic Weighted Average Shares,M,0,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,150,SBBF,21.74657,Basic EPS Excluding Extraordinary Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,151,SBAI,21.74657,Basic EPS Including Extraordinary Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,153,SDNI,165118.585,Diluted Net Income,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,154,SDWS,7618.48546,Diluted Weighted Average Shares,M,0,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,155,SDBF,21.67341,Diluted EPS Excluding ExtraOrd Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,156,SDAI,21.67341,Diluted EPS Including ExtraOrd Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,157,DDPS1,19.5,DPS - Common Stock Primary Issue,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,176,VPTI,157626.069,Normalized Income Before Taxes,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,178,VITN,-7492.516,Inc Tax Ex Impact of Sp Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,179,VIAT,165118.585,Normalized Income After Taxes,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,180,VIAC,165118.585,Normalized Inc. Avail to Com.,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,181,VBES,21.74657,Basic Normalized EPS,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,182,VDES,21.67341,Diluted Normalized EPS,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,211,SPTM,22.054,Pretax Margin,M,0,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,212,SETR,-4.75335,Effective Tax Rate,M,0,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,213,SNPM,23.10231,Net Profit Margin,M,0,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",1,216,SBTR,472430.941,Bank Total Revenue,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",2,834,ONET,708953.051,Net Income/Starting Line,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",2,835,SDEP,28100.988,Depreciation,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",2,837,SDED,28100.988,Depreciation/Depletion,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",2,846,OUIE,-74152.411,Unusual Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",2,849,ONCI,137772.869,Other Non-Cash Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",2,850,SNCI,63620.458,Non-Cash Items,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",2,853,SCTP,198437.376,Cash Taxes Paid,M,1,0
HDFC Bank Ltd (Parent),67635,2,"2024-03-31",2,855,OLLP,107748.189,Loan Loss Provision,M,1,0
