"COMP_ID","COMP_NM","COMP_LONG_NM","ISIN_CODE","TICKER"
"10009",Megasoft,Megasoft Ltd,INE933B01012,MGSF IN Equity
"10015",Snowman Logistics Ltd,,INE734N01019,
"10160",Adani Enterprise,Adani Enterprises Ltd,INE423A01024,
"10049",America Movil,,,
"10006",Holding Companies,,,
"10111",Vedant Hotels,Vedant Hotels Ltd,,
"10278",Sonata Software,Sonata Software Ltd,INE269A01021,
"10019",Warana Dairy & Agro Industries Ltd,,,
"10026",Carborundum Univ,Carborundum Universal Ltd,INE120A01034,
"10030",G M Breweries,G M Breweries Ltd,INE075D01018,
"10301",Madras Cement,Madras Cements Ltd,INE331A01037,NMCL IN Equity
"10054",Bhushan Steel,Bhushan Steels & Strips Ltd,INE824B01021,
"10465",Transtopics Magazine,,,
"10163",Alkyl Amines,Alkyl Amines Chemicals Ltd,INE150B01021,
"10022",ACC,ACC Ltd,INE012A01025,NACC IN Equity
"10020",Windals,,,
"10599",Zyfin Research Pvt Ltd.,,,
"10245",Diageo PLC,,,
"10105",Parsvnath Developers,,,NPARSV IN Equity
"10037",Navkar Corporation Ltd,,INE278M01019,
"10126",Ma Foi Consulting Solutions Ltd,Ma Foi Consulting Solutions Ltd,,
"10069",PNC Infra Ltd,,,
"10002",Deloitte,,,
"10000",Biocon,Biocon Ltd,INE376G01013,NBIOS IN Equity
"10029",Green Infra Ltd,,,
"10073",Star Chemicals Ltd,,,
"10025",Cairn India Ltd,Cairn India Ltd,INE910H01017,NCAIR IN Equity
"10113",Uniply Ind,Uniply Industries Ltd,INE950G01015,
"10158",V Mart Retails Ltd,,,
"10273",Paper Products,Paper Products Ltd,INE275B01026,NPPR IN Equity
"10117",Elpro Intl.,Elpro International Ltd,INE579B01021,
"10300",Kaveri Engg.,Kaveri Engineering Industries Ltd (Wound-up),,
"10004",GE Electric,,,
"10086",Manpasand Beverages Ltd,,,
"10039",sequoia ,,,
"10062",H P C L,Hindustan Petroleum Corporation Ltd,INE094A01015,NHPCL IN Equity
"10148",NHPC,,,
"10311",TARGET FUNDS,,,
"10321",Kirl. Electric,Kirloskar Electric Company Ltd,INE134B01017,
"10075",Vijay Sales,,,
"10298",Hawkins Cookers,Hawkins Cooker Ltd,INE979B01015,
"10038",Olive Bar & Kitchen,,,
"10021",Torrent Cables ,Torrent Cables Ltd,INE859B01027,
"10156",Zee Telefilms,Zee Telefilms Ltd,,
