"Ticker","Name","Period","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,1,RNTS,360.8,Net Sales,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,2,RREV,1051896.8,Gross Revenue,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,2,RREV,1052232.78,Gross Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,10,SREV,1052232.78,Revenue,M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,10,SREV,1052257.6,Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,31,RTLR,1052257.6,Total Revenue,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,31,RTLR,1052232.78,Total Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,34,ECOR,797198.68,Cost of Revenue,M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,34,ECOR,804859.67,Cost of Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,35,EEXT,148165.97,Excise Taxes Payments,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,35,EEXT,148165.97,Excise Taxes Payments,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,36,SCOR,945364.65,"Cost of Revenue, Total",M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,36,SCOR,953025.64,"Cost of Revenue, Total",M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,37,SGRP,99231.96,Gross Profit,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,37,SGRP,106868.13,Gross Profit,M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,52,ESGA,8419.07,Selling/General/Administrative Expense,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,53,ELAR,7724.89,Labor & Related Expense,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,53,ELAR,7720.63,Labor & Related Expense,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,55,SSGA,7720.63,"Selling/General/Admin. Expenses, Total",M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,55,SSGA,16143.96,"Selling/General/Admin. Expenses, Total",M,1,1
