"Ticker","Name","Period","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,2,RREV,291635.48,Gross Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,2,RREV,272894.0,Gross Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,2,RREV,287859.2,Gross Revenue,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,2,RREV,291635.48,Gross Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,2,RREV,272894.0,Gross Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,2,RREV,287859.2,Gross Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,10,SREV,287859.2,Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,10,SREV,272894.0,Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,10,SREV,291635.48,Revenue,M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,10,SREV,287859.2,Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,10,SREV,272894.0,Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,10,SREV,291635.48,Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,31,RTLR,291635.48,Total Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,31,RTLR,272894.0,Total Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,31,RTLR,287859.2,Total Revenue,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,31,RTLR,291635.48,Total Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,31,RTLR,272894.0,Total Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,31,RTLR,287859.2,Total Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,34,ECOR,247019.7,Cost of Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,34,ECOR,218844.0,Cost of Revenue,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,34,ECOR,220860.38,Cost of Revenue,M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,34,ECOR,247019.7,Cost of Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,34,ECOR,218844.0,Cost of Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,34,ECOR,220860.38,Cost of Revenue,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,35,EEXT,38365.47,Excise Taxes Payments,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,35,EEXT,40423.8,Excise Taxes Payments,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,35,EEXT,38180.5,Excise Taxes Payments,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,35,EEXT,38365.47,Excise Taxes Payments,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,35,EEXT,40423.8,Excise Taxes Payments,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,35,EEXT,38180.5,Excise Taxes Payments,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,36,SCOR,285200.2,"Cost of Revenue, Total",M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,36,SCOR,259267.8,"Cost of Revenue, Total",M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,36,SCOR,259225.85,"Cost of Revenue, Total",M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,36,SCOR,285200.2,"Cost of Revenue, Total",M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,36,SCOR,259267.8,"Cost of Revenue, Total",M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,36,SCOR,259225.85,"Cost of Revenue, Total",M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,37,SGRP,32409.63,Gross Profit,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,37,SGRP,13626.2,Gross Profit,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,37,SGRP,2659.0,Gross Profit,M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,37,SGRP,32409.63,Gross Profit,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,37,SGRP,13626.2,Gross Profit,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,37,SGRP,2659.0,Gross Profit,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,53,ELAR,1692.7,Labor & Related Expense,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,53,ELAR,1665.5,Labor & Related Expense,M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,53,ELAR,3003.73,Labor & Related Expense,M,1,0
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,53,ELAR,1692.7,Labor & Related Expense,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,53,ELAR,1665.5,Labor & Related Expense,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,53,ELAR,3003.73,Labor & Related Expense,M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,55,SSGA,3003.73,"Selling/General/Admin. Expenses, Total",M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,55,SSGA,1665.5,"Selling/General/Admin. Expenses, Total",M,1,1
MRPL,Mangalore Refinery and Petrochmcls Ltd,2024-09-30 00:00:00.000,55,SSGA,1692.7,"Selling/General/Admin. Expenses, Total",M,1,1
,Mangalore Refinery and Petrochmcls Ltd,2024-03-31 00:00:00.000,55,SSGA,3003.73,"Selling/General/Admin. Expenses, Total",M,1,0
,Mangalore Refinery and Petrochmcls Ltd,2024-06-30 00:00:00.000,55,SSGA,1665.5,"Selling/General/Admin. Expenses, Total",M,1,0
