"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,1,RNTS,4532.2,Net Sales,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,10,SREV,4532.2,Revenue,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,31,RTLR,4532.2,Total Revenue,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,34,ECOR,1913.7,Cost of Revenue,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,36,SCOR,1913.7,"Cost of Revenue, Total",M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,37,SGRP,2618.5,Gross Profit,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,53,ELAR,367.7,Labor & Related Expense,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,55,SSGA,367.7,"Selling/General/Admin. Expenses, Total",M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,56,ERAD,737.2,Research & Development,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,57,EDEP,164.0,Depreciation,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,60,SDPR,164.0,Depreciation/Amortization,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,80,EOOE,61.3,Other Operating Expense,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,82,SOOE,61.3,"Other Operating Expenses, Total",M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,83,ETOE,3243.9,Total Operating Expense,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,84,SOPI,1288.3,Operating Income,M,1,1
Caplin Point Laboratories Ltd,74096,2,"2024-03-31",1,89,NINV,-0.9,Investment Income - Non-Operating,M,1,1
