"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,1,RNTS,12860.559,Net Sales,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,10,SREV,12860.559,Revenue,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,31,RTLR,12860.559,Total Revenue,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,34,ECOR,7999.402,Cost of Revenue,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,36,SCOR,7999.402,"Cost of Revenue, Total",M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,37,SGRP,4861.157,Gross Profit,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,53,ELAR,1095.424,Labor & Related Expense,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,55,SSGA,1095.424,"Selling/General/Admin. Expenses, Total",M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,57,EDEP,194.828,Depreciation,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,60,SDPR,194.828,Depreciation/Amortization,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,73,EUIE,0.0,Other Unusual Expense (Income),M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,74,SUIE,0.0,Unusual Expense (Income),M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,80,EOOE,732.687,Other Operating Expense,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,81,EONT,151.585,"Other, Net",M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,82,SOOE,884.272,"Other Operating Expenses, Total",M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,83,ETOE,10173.926,Total Operating Expense,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,84,SOPI,2686.633,Operating Income,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,89,NINV,-66.126,Investment Income - Non-Operating,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,90,SIIN,-66.126,Interest/Invest Income -  Non-Operating,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,126,NONT,801.109,Other Non-Operating Income (Expense),M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,127,SONT,801.109,"Other, Net",M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,128,EIBT,3421.616,Net Income Before Taxes,M,1,1
Cochin Shipyard Ltd,91883,2,"2024-03-31",1,129,TTAX,834.412,Provision for Income Taxes,M,1,1
