"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,1,RNTS,5096.433,Net Sales,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,10,SREV,5096.433,Revenue,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,31,RTLR,5096.433,Total Revenue,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,34,ECOR,1121.388,Cost of Revenue,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,36,SCOR,1121.388,"Cost of Revenue, Total",M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,37,SGRP,3975.045,Gross Profit,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,52,ESGA,73.926,Selling/General/Administrative Expense,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,53,ELAR,1044.368,Labor & Related Expense,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,55,SSGA,1118.294,"Selling/General/Admin. Expenses, Total",M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,57,EDEP,290.321,Depreciation,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,60,SDPR,290.321,Depreciation/Amortization,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,71,EIAU,966.151,Impairment-Assets Held for Use,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,73,EUIE,0.0,Other Unusual Expense (Income),M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,74,SUIE,966.151,Unusual Expense (Income),M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,80,EOOE,1638.228,Other Operating Expense,M,1,1
Jagran Prakashan Ltd,51354,2,"2024-03-31",1,82,SOOE,1638.228,"Other Operating Expenses, Total",M,1,1
