"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Lupin Ltd,26409,2,"2024-03-31",1,1,RNTS,49607.9,Net Sales,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,10,SREV,49607.9,Revenue,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,31,RTLR,49607.9,Total Revenue,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,34,ECOR,15692.1,Cost of Revenue,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,36,SCOR,15692.1,"Cost of Revenue, Total",M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,37,SGRP,33915.8,Gross Profit,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,53,ELAR,9002.2,Labor & Related Expense,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,55,SSGA,9002.2,"Selling/General/Admin. Expenses, Total",M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,57,EDEP,4571.0,Depreciation,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,60,SDPR,4571.0,Depreciation/Amortization,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,80,EOOE,14899.7,Other Operating Expense,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,82,SOOE,14899.7,"Other Operating Expenses, Total",M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,83,ETOE,44165.0,Total Operating Expense,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,84,SOPI,5442.9,Operating Income,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,89,NINV,-758.3,Investment Income - Non-Operating,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,90,SIIN,-758.3,Interest/Invest Income -  Non-Operating,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,126,NONT,292.5,Other Non-Operating Income (Expense),M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,127,SONT,292.5,"Other, Net",M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,128,EIBT,4977.1,Net Income Before Taxes,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,129,TTAX,1294.9,Provision for Income Taxes,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,130,TIAT,3682.2,Net Income After Taxes,M,1,1
Lupin Ltd,26409,2,"2024-03-31",1,131,CMIN,-87.9,Minority Interest,M,1,1
