"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Steel Authority of India Ltd,26244,2,"2024-03-31",1,1,RNTS,279585.2,Net Sales,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,10,SREV,279585.2,Revenue,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,31,RTLR,279585.2,Total Revenue,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,34,ECOR,145151.8,Cost of Revenue,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,36,SCOR,145151.8,"Cost of Revenue, Total",M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,37,SGRP,134433.4,Gross Profit,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,53,ELAR,28453.5,Labor & Related Expense,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,55,SSGA,28453.5,"Selling/General/Admin. Expenses, Total",M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,57,EDEP,13558.2,Depreciation,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,60,SDPR,13558.2,Depreciation/Amortization,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,73,EUIE,5023.4,Other Unusual Expense (Income),M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,74,SUIE,5023.4,Unusual Expense (Income),M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,80,EOOE,71153.2,Other Operating Expense,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,82,SOOE,71153.2,"Other Operating Expenses, Total",M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,83,ETOE,263340.1,Total Operating Expense,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,84,SOPI,16245.1,Operating Income,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,89,NINV,-4967.3,Investment Income - Non-Operating,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,90,SIIN,-4967.3,Interest/Invest Income -  Non-Operating,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,92,NGLA,-1488.2,Gain (Loss) on Sale of Assets,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,126,NONT,4622.4,Other Non-Operating Income (Expense),M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,127,SONT,4622.4,"Other, Net",M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,128,EIBT,14412.0,Net Income Before Taxes,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,129,TTAX,3155.2,Provision for Income Taxes,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,130,TIAT,11256.8,Net Income After Taxes,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,131,CMIN,0.0,Minority Interest,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,134,NIBX,11256.8,Net Income Before Extra. Items,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,140,NINC,11256.8,Net Income,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,147,CIAC,11256.8,Income Available to Com Excl ExtraOrd,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,148,XNIC,11256.8,Income Available to Com Incl ExtraOrd,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,149,SBAS,4132.80329,Basic Weighted Average Shares,M,0,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,150,SBBF,2.72377,Basic EPS Excluding Extraordinary Items,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,151,SBAI,2.72377,Basic EPS Including Extraordinary Items,M,1,1
Steel Authority of India Ltd,26244,2,"2024-03-31",1,153,SDNI,11256.8,Diluted Net Income,M,1,1
