"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Astral Ltd (Parent),113037,2,"2024-03-31",1,1,RNTS,14881.0,Net Sales,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,10,SREV,14881.0,Revenue,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,31,RTLR,14881.0,Total Revenue,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,34,ECOR,8921.0,Cost of Revenue,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,36,SCOR,8921.0,"Cost of Revenue, Total",M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,37,SGRP,5960.0,Gross Profit,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,53,ELAR,934.0,Labor & Related Expense,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,55,SSGA,934.0,"Selling/General/Admin. Expenses, Total",M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,57,EDEP,420.0,Depreciation,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,60,SDPR,420.0,Depreciation/Amortization,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,80,EOOE,2215.0,Other Operating Expense,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,82,SOOE,2215.0,"Other Operating Expenses, Total",M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,83,ETOE,12490.0,Total Operating Expense,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,84,SOPI,2391.0,Operating Income,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,89,NINV,-61.0,Investment Income - Non-Operating,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,90,SIIN,-61.0,Interest/Invest Income -  Non-Operating,M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,126,NONT,97.0,Other Non-Operating Income (Expense),M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,127,SONT,97.0,"Other, Net",M,1,0
Astral Ltd (Parent),113037,2,"2024-03-31",1,128,EIBT,2427.0,Net Income Before Taxes,M,1,0
