"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,1,RNTS,1393.8,Net Sales,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,10,SREV,1393.8,Revenue,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,31,RTLR,1393.8,Total Revenue,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,34,ECOR,435.0,Cost of Revenue,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,36,SCOR,435.0,"Cost of Revenue, Total",M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,37,SGRP,958.8,Gross Profit,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,53,ELAR,97.7,Labor & Related Expense,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,55,SSGA,97.7,"Selling/General/Admin. Expenses, Total",M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,56,ERAD,287.4,Research & Development,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,57,EDEP,69.3,Depreciation,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,60,SDPR,69.3,Depreciation/Amortization,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,81,EONT,-3.2,"Other, Net",M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,82,SOOE,-3.2,"Other Operating Expenses, Total",M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,83,ETOE,886.2,Total Operating Expense,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,84,SOPI,507.6,Operating Income,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,89,NINV,-0.2,Investment Income - Non-Operating,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,90,SIIN,-0.2,Interest/Invest Income -  Non-Operating,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,126,NONT,361.8,Other Non-Operating Income (Expense),M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,127,SONT,361.8,"Other, Net",M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,128,EIBT,869.2,Net Income Before Taxes,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,129,TTAX,170.3,Provision for Income Taxes,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,130,TIAT,698.9,Net Income After Taxes,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,134,NIBX,698.9,Net Income Before Extra. Items,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,140,NINC,698.9,Net Income,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,147,CIAC,698.9,Income Available to Com Excl ExtraOrd,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,148,XNIC,698.9,Income Available to Com Incl ExtraOrd,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,149,SBAS,75.95076,Basic Weighted Average Shares,M,0,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,150,SBBF,9.20201,Basic EPS Excluding Extraordinary Items,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,151,SBAI,9.20201,Basic EPS Including Extraordinary Items,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,153,SDNI,698.9,Diluted Net Income,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,154,SDWS,76.47119,Diluted Weighted Average Shares,M,0,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,155,SDBF,9.13939,Diluted EPS Excluding ExtraOrd Items,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,156,SDAI,9.13939,Diluted EPS Including ExtraOrd Items,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,157,DDPS1,2.5,DPS - Common Stock Primary Issue,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,173,VDEP,69.3,"Depreciation, Supplemental",M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,176,VPTI,869.2,Normalized Income Before Taxes,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,178,VITN,170.3,Inc Tax Ex Impact of Sp Items,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,179,VIAT,698.9,Normalized Income After Taxes,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,180,VIAC,698.9,Normalized Inc. Avail to Com.,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,181,VBES,9.20201,Basic Normalized EPS,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,182,VDES,9.13939,Diluted Normalized EPS,M,1,0
Caplin Point Laboratories Ltd (Parent),113136,2,"2024-03-31",1,190,VRAD,287.4,"Research & Development Exp, Supplemental",M,1,0
