"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,1,RNTS,4304.227,Net Sales,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,10,SREV,4304.227,Revenue,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,31,RTLR,4304.227,Total Revenue,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,34,ECOR,1040.843,Cost of Revenue,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,36,SCOR,1040.843,"Cost of Revenue, Total",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,37,SGRP,3263.384,Gross Profit,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,53,ELAR,788.01,Labor & Related Expense,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,55,SSGA,788.01,"Selling/General/Admin. Expenses, Total",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,57,EDEP,143.852,Depreciation,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,60,SDPR,143.852,Depreciation/Amortization,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,72,EIAS,50.417,Impairment-Assets Held for Sale,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,74,SUIE,50.417,Unusual Expense (Income),M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,80,EOOE,1325.868,Other Operating Expense,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,82,SOOE,1325.868,"Other Operating Expenses, Total",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,83,ETOE,3348.99,Total Operating Expense,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,84,SOPI,955.237,Operating Income,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,89,NINV,-49.552,Investment Income - Non-Operating,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,90,SIIN,-49.552,Interest/Invest Income -  Non-Operating,M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,126,NONT,174.372,Other Non-Operating Income (Expense),M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,127,SONT,174.372,"Other, Net",M,1,0
Jagran Prakashan Ltd (Parent),113077,2,"2024-03-31",1,128,EIBT,1080.057,Net Income Before Taxes,M,1,0
