"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Lupin Ltd (Parent),68830,2,"2024-03-31",1,1,RNTS,33958.8,Net Sales,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,10,SREV,33958.8,Revenue,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,31,RTLR,33958.8,Total Revenue,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,34,ECOR,12185.6,Cost of Revenue,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,36,SCOR,12185.6,"Cost of Revenue, Total",M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,37,SGRP,21773.2,Gross Profit,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,53,ELAR,5170.7,Labor & Related Expense,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,55,SSGA,5170.7,"Selling/General/Admin. Expenses, Total",M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,57,EDEP,2660.2,Depreciation,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,60,SDPR,2660.2,Depreciation/Amortization,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,71,EIAU,240.2,Impairment-Assets Held for Use,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,74,SUIE,240.2,Unusual Expense (Income),M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,80,EOOE,9664.1,Other Operating Expense,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,82,SOOE,9664.1,"Other Operating Expenses, Total",M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,83,ETOE,29920.8,Total Operating Expense,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,84,SOPI,4038.0,Operating Income,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,89,NINV,-67.4,Investment Income - Non-Operating,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,90,SIIN,-67.4,Interest/Invest Income -  Non-Operating,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,92,NGLA,-2.4,Gain (Loss) on Sale of Assets,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,126,NONT,313.4,Other Non-Operating Income (Expense),M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,127,SONT,313.4,"Other, Net",M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,128,EIBT,4281.6,Net Income Before Taxes,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,129,TTAX,440.8,Provision for Income Taxes,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,130,TIAT,3840.8,Net Income After Taxes,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,134,NIBX,3840.8,Net Income Before Extra. Items,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,140,NINC,3840.8,Net Income,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,147,CIAC,3840.8,Income Available to Com Excl ExtraOrd,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,148,XNIC,3840.8,Income Available to Com Incl ExtraOrd,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,149,SBAS,455.59275,Basic Weighted Average Shares,M,0,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,150,SBBF,8.43034,Basic EPS Excluding Extraordinary Items,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,151,SBAI,8.43034,Basic EPS Including Extraordinary Items,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,153,SDNI,3840.8,Diluted Net Income,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,154,SDWS,457.428,Diluted Weighted Average Shares,M,0,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,155,SDBF,8.39651,Diluted EPS Excluding ExtraOrd Items,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,156,SDAI,8.39651,Diluted EPS Including ExtraOrd Items,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,157,DDPS1,8.0,DPS - Common Stock Primary Issue,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,173,VDEP,2660.2,"Depreciation, Supplemental",M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,175,STSI,242.6,Total Special Items,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,176,VPTI,4524.2,Normalized Income Before Taxes,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,177,STEC,24.9762,Effect of Special Items on Income Taxes,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,178,VITN,465.7762,Inc Tax Ex Impact of Sp Items,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,179,VIAT,4058.4238,Normalized Income After Taxes,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,180,VIAC,4058.4238,Normalized Inc. Avail to Com.,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,181,VBES,8.90801,Basic Normalized EPS,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,182,VDES,8.87227,Diluted Normalized EPS,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,209,SGPP,64.11652,Gross Margin,M,0,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,210,SOPP,11.89088,Operating Margin,M,0,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,211,SPTM,12.60822,Pretax Margin,M,0,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,212,SETR,10.29522,Effective Tax Rate,M,0,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,213,SNPM,11.31018,Net Profit Margin,M,0,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,214,SBIT,4278.2,Normalized EBIT,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,215,SBDA,6938.4,Normalized EBITDA,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,221,VCTR,690.6,Current Tax - Total,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,222,VCTC,690.6,Current Tax - Total,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,227,VDTR,-249.8,Deferred Tax - Total,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,228,VDTC,-249.8,Deferred Tax - Total,M,1,0
Lupin Ltd (Parent),68830,2,"2024-03-31",1,233,VITT,440.8,Income Tax - Total,M,1,0
