"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,1,RNTS,279579.9,Net Sales,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,10,SREV,279579.9,Revenue,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,31,RTLR,279579.9,Total Revenue,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,34,ECOR,144906.9,Cost of Revenue,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,36,SCOR,144906.9,"Cost of Revenue, Total",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,37,SGRP,134673.0,Gross Profit,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,53,ELAR,28397.9,Labor & Related Expense,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,55,SSGA,28397.9,"Selling/General/Admin. Expenses, Total",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,57,EDEP,13556.9,Depreciation,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,60,SDPR,13556.9,Depreciation/Amortization,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,73,EUIE,5023.4,Other Unusual Expense (Income),M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,74,SUIE,5023.4,Unusual Expense (Income),M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,80,EOOE,71521.3,Other Operating Expense,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,82,SOOE,71521.3,"Other Operating Expenses, Total",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,83,ETOE,263406.4,Total Operating Expense,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,84,SOPI,16173.5,Operating Income,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,89,NINV,-6421.4,Investment Income - Non-Operating,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,90,SIIN,-6421.4,Interest/Invest Income -  Non-Operating,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,126,NONT,3533.6,Other Non-Operating Income (Expense),M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,127,SONT,3533.6,"Other, Net",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,128,EIBT,13285.7,Net Income Before Taxes,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,129,TTAX,0.0,Provision for Income Taxes,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,130,TIAT,13285.7,Net Income After Taxes,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,134,NIBX,13285.7,Net Income Before Extra. Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,140,NINC,13285.7,Net Income,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,147,CIAC,13285.7,Income Available to Com Excl ExtraOrd,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,148,XNIC,13285.7,Income Available to Com Incl ExtraOrd,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,149,SBAS,4134.40331,Basic Weighted Average Shares,M,0,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,150,SBBF,3.21345,Basic EPS Excluding Extraordinary Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,151,SBAI,3.21345,Basic EPS Including Extraordinary Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,153,SDNI,13285.7,Diluted Net Income,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,154,SDWS,4134.40331,Diluted Weighted Average Shares,M,0,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,155,SDBF,3.21345,Diluted EPS Excluding ExtraOrd Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,156,SDAI,3.21345,Diluted EPS Including ExtraOrd Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,157,DDPS1,1.0,DPS - Common Stock Primary Issue,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,173,VDEP,13556.9,"Depreciation, Supplemental",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,175,STSI,5023.4,Total Special Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,176,VPTI,18309.1,Normalized Income Before Taxes,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,177,STEC,0.0,Effect of Special Items on Income Taxes,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,178,VITN,0.0,Inc Tax Ex Impact of Sp Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,179,VIAT,18309.1,Normalized Income After Taxes,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,180,VIAC,18309.1,Normalized Inc. Avail to Com.,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,181,VBES,4.42847,Basic Normalized EPS,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,182,VDES,4.42847,Diluted Normalized EPS,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,209,SGPP,48.16977,Gross Margin,M,0,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,210,SOPP,5.78493,Operating Margin,M,0,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,211,SPTM,4.75202,Pretax Margin,M,0,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,212,SETR,0.0,Effective Tax Rate,M,0,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,213,SNPM,4.75202,Net Profit Margin,M,0,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,214,SBIT,21196.9,Normalized EBIT,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,215,SBDA,34753.8,Normalized EBITDA,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,217,VCTD,-1184.6,Current Tax - Domestic,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,222,VCTC,-1184.6,Current Tax - Total,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,223,VDTD,-1988.9,Deferred Tax - Domestic,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,228,VDTC,-1988.9,Deferred Tax - Total,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,233,VITT,-3173.5,Income Tax - Total,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,999,SNIN,-6421.4,"Interest Inc.(Exp.),Net-Non-Op., Total",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",1,1068,VLAR,28397.9,Labor & Related Expense Suppl.,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,834,ONET,36876.7,Net Income/Starting Line,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,835,SDEP,52774.5,Depreciation,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,837,SDED,52774.5,Depreciation/Depletion,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,846,OUIE,-1300.0,Unusual Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,849,ONCI,18812.7,Other Non-Cash Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,850,SNCI,17512.7,Non-Cash Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,853,SCTP,934.4,Cash Taxes Paid,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,854,SCIP,21565.7,Cash Interest Paid,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,856,OACR,-29799.1,Accounts Receivable,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,857,OITL,-50109.0,Inventories,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,859,OOAS,-15012.1,Other Assets,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,860,OAPB,9935.2,Accounts Payable,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,864,OOLB,8087.4,Other Liabilities,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,866,OOCF,-934.4,Other Operating Cash Flow,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,880,SOCF,-77832.0,Changes in Working Capital,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,881,OTLO,29331.9,Cash from Operating Activities,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,882,ICEX,-48630.9,Purchase of Fixed Assets,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,885,SCEX,-48630.9,Capital Expenditures,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,888,ISFA,5028.5,Sale of Fixed Assets,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,899,IICF,799.8,Other Investing Cash Flow,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,900,SICF,5828.3,"Other Investing Cash Flow Items, Total",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,901,ITLI,-42802.6,Cash from Investing Activities,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,905,FFCF,-21565.7,Other Financing Cash Flow,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,906,SFCF,-21565.7,Financing Cash Flow Items,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,907,FDPC,-6195.8,Cash Dividends Paid - Common,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,909,FCDP,-6195.8,Total Cash Dividends Paid,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,924,FSDN,24264.7,"Short Term Debt, Net",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,925,FLDI,50000.0,Long Term Debt Issued,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,926,FLDR,-8010.3,Long Term Debt Reduction,M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,927,FLDN,17040.4,"Long Term Debt, Net",M,1,0
Steel Authority of India Ltd (Parent),68986,2,"2024-03-31",2,930,FPRD,41305.1,"Issuance (Retirement) of Debt, Net",M,1,0
