"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,1,RNTS,2408930.0,Net Sales,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,10,SREV,2408930.0,Revenue,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,31,RTLR,2408930.0,Total Revenue,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,34,ECOR,37020.0,Cost of Revenue,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,36,SCOR,37020.0,"Cost of Revenue, Total",M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,37,SGRP,2371910.0,Gross Profit,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,52,ESGA,282820.0,Selling/General/Administrative Expense,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,53,ELAR,1401310.0,Labor & Related Expense,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,55,SSGA,1684130.0,"Selling/General/Admin. Expenses, Total",M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,57,EDEP,45060.0,Depreciation,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,58,EAMI,4790.0,Amortization of Intangibles,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,60,SDPR,49850.0,Depreciation/Amortization,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,70,ELIT,9580.0,Litigation,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,73,EUIE,-70.0,Other Unusual Expense (Income),M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,74,SUIE,9510.0,Unusual Expense (Income),M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,80,EOOE,44820.0,Other Operating Expense,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,82,SOOE,44820.0,"Other Operating Expenses, Total",M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,83,ETOE,1825330.0,Total Operating Expense,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,84,SOPI,583600.0,Operating Income,M,1,1
Tata Consultancy Services Ltd,43388,1,"2024-03-31",1,85,NIEN,-5180.0,Interest Expense - Non-Operating,M,1,1
