"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,436,ACSH,11131.0,Cash, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,438,ASTI,32.0,Short Term Investments, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,439,SCSI,11163.0,Cash and Short Term Investments, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,440,AARG,24960.0,"Accounts Receivable - Trade, Gross", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,441,APDA,-5047.0,Provision for Doubtful Accounts, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,442,AACR,19913.0,"Accounts Receivable - Trade, Net", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,443,ASTR,0.0,Notes Receivable - Short Term, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,444,AORC,9543.0,Receivables - Other, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,445,ATRC,29456.0,"Total Receivables, Net", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,449,AIOT,69129.0,Inventories - Other, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,453,AITL,69129.0,Total Inventory, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,454,APPY,750.0,Prepaid Expenses, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,455,ARCA,769.0,Restricted Cash - Current, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,460,AOCA,165.0,Other Current Assets, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,461,SOCA,934.0,"Other Current Assets, Total", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,462,ATCA,111432.0,Total Current Assets, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,480,APBC,3647.0,Buildings - Gross, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,482,AMEC,7641.0,Machinery/Equipment - Gross, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,483,ACPC,93.0,Construction in Progress - Gross, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,486,AOPC,5583.0,Other Property/Plant/Equipment - Gross, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,487,APTC,16964.0,"Property/Plant/Equipment, Total - Gross", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,488,ADEP,-10473.0,"Accumulated Depreciation, Total", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,489,APPN,6491.0,"Property/Plant/Equipment, Total - Net", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,490,AGWG,3990.0,Goodwill - Gross, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,491,AAGA,-687.0,Accumulated Goodwill Amortization, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,492,AGWI,3303.0,"Goodwill, Net", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,493,AING,7844.0,Intangibles - Gross, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,494,AAMT,-5991.0,Accumulated Intangible Amortization, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,495,AINT,1853.0,"Intangibles, Net", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,502,AEQI,23.0,LT Investment - Affiliate Companies, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,503,ALTI,858.0,LT Investments - Other, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,504,SINV,881.0,Long Term Investments, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,506,ALTR,4494.0,Note Receivable - Long Term, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,507,ADFC,52.0,Deferred Charges, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,509,ADTA,4542.0,Defered Income Tax - Long Term Asset, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,510,ADOA,846.0,Discontinued Operations - LT Asset, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,512,AOAS,603.0,Other Long Term Assets, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,513,SOLA,6043.0,"Other Long Term Assets, Total", ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,523,ATOT,134497.0,Total Assets, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,524,LAPB,14356.0,Accounts Payable, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,526,LAEX,1899.0,Accrued Expenses, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,547,LSTD,0.0,Notes Payable/Short Term Debt, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,548,LCLD,682.0,Current Port. of  LT Debt/Capital Leases, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,549,LDPB,49.0,Dividends Payable, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,550,LCAV,3298.0,Customer Advances, ,1,1
Zee Entertainment Enterprises Limited,21595,1,"2024-03-31",3,551,LSDP,170.0,Security Deposits, ,1,1
