"Code","Type_","Period_","Measure_Code","Measure_Desc","UnitType","Curr","Value_","Consolidated","Code","Consolidated"
26006,Year,2025,EPSCASH,Cash EPS,Currency,INR,91.872,1,26006,Standalone
26006,Year,2026,EPSCASH,Cash EPS,Currency,INR,103.404,1,26006,Standalone
26006,Year,2027,EPSCASH,Cash EPS,Currency,INR,119.333,1,26006,Standalone
26006,Year,2028,DPS,Dividend Per Share,Currency,INR,26.0,0,26006,Consolidated
26006,Year,2025,DPS,Dividend Per Share,Currency,INR,19.91617,0,26006,Consolidated
26006,Year,2026,DPS,Dividend Per Share,Currency,INR,22.18954,0,26006,Consolidated
26006,Year,2027,DPS,Dividend Per Share,Currency,INR,25.61786,0,26006,Consolidated
26006,Year,2025,TOTDIV,Total Dividends,Currency,INR,166000.0,0,26006,Consolidated
26006,Year,2026,TOTDIV,Total Dividends,Currency,INR,189000.0,0,26006,Consolidated
26006,Year,2028,PPROFITREP,Reported Pretax Profit,Currency,INR,1256251.0,1,26006,Standalone
26006,Year,2025,PPROFITREP,Reported Pretax Profit,Currency,INR,879174.50419,1,26006,Standalone
26006,Year,2026,PPROFITREP,Reported Pretax Profit,Currency,INR,982564.04404,1,26006,Standalone
26006,Year,2027,PPROFITREP,Reported Pretax Profit,Currency,INR,1127103.06154,1,26006,Standalone
26006,Year,2025,TAXPROV,Tax Provision,Currency,INR,211846.36,1,26006,Standalone
26006,Year,2026,TAXPROV,Tax Provision,Currency,INR,238977.88,1,26006,Standalone
26006,Year,2026,TAXRATE,Tax Rate,Percentage,,20.25333,1,26006,Standalone
26006,Year,2025,TAXRATE,Tax Rate,Percentage,,20.83267,1,26006,Standalone
26006,Year,2025,CURRASSETS,Current Assets,Currency,INR,2277151.0,1,26006,Standalone
26006,Year,2026,CURRASSETS,Current Assets,Currency,INR,2480667.0,1,26006,Standalone
26006,Year,2027,CURRASSETS,Current Assets,Currency,INR,2657696.5,1,26006,Standalone
26006,Year,2028,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,3114854.0,1,26006,Standalone
26006,Year,2027,TAXRATE,Tax Rate,Percentage,,24.50714,1,26006,Standalone
26006,Year,2027,TAXPROV,Tax Provision,Currency,INR,277412.36,1,26006,Standalone
26006,Year,2025,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,2261890.05,1,26006,Standalone
26006,Year,2026,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,2474859.5,1,26006,Standalone
26006,Year,2027,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,2759542.25,1,26006,Standalone
26006,Year,2025,INTINC,Interest Income,Currency,INR,2669935.77778,1,26006,Standalone
26006,Year,2026,INTINC,Interest Income,Currency,INR,2895820.55556,1,26006,Standalone
26006,Year,2027,INTINC,Interest Income,Currency,INR,3183077.875,1,26006,Standalone
26006,Year,2028,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,1473637.0,1,26006,Standalone
26006,Year,2025,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,997994.19231,1,26006,Standalone
26006,Year,2026,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,1125271.19231,1,26006,Standalone
26006,Year,2028,EPS,Earnings Per Share,Currency,INR,124.0,1,26006,Standalone
26006,Year,2027,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,1294325.33204,1,26006,Standalone
26006,Year,2025,EPS,Earnings Per Share,Currency,INR,87.74203,1,26006,Standalone
26006,Year,2026,EPS,Earnings Per Share,Currency,INR,97.52024,1,26006,Standalone
26006,Year,2025,AVGEASSET,Average Earning Assets,Currency,INR,37467980,1,26006,Standalone
26006,Year,2026,AVGEASSET,Average Earning Assets,Currency,INR,42524524,1,26006,Standalone
26006,Year,2027,AVGEASSET,Average Earning Assets,Currency,INR,49326212,1,26006,Standalone
26006,Year,2025,AVGIBL,Average Interest Bearing Liabilities,Currency,INR,31436000,1,26006,Standalone
26006,Year,2025,COSTFUNDS,Cost of Funds ,Percentage,,5.44,1,26006,Standalone
26006,Year,2026,COSTFUNDS,Cost of Funds ,Percentage,,5.22,1,26006,Standalone
26006,Year,2027,COSTFUNDS,Cost of Funds ,Percentage,,5.02222,1,26006,Standalone
26006,Year,2027,EPS,Earnings Per Share,Currency,INR,112.01788,1,26006,Standalone
26006,Year,2025,TCRATIO,Total Capital Ratio,Percentage,,17.9,1,26006,Standalone
26006,Year,2025,EASSETYLD,Earning Asset Yield,Percentage,,8.6,1,26006,Standalone
26006,Year,2026,EASSETYLD,Earning Asset Yield,Percentage,,8.5,1,26006,Standalone
26006,Year,2026,AVGIBL,Average Interest Bearing Liabilities,Currency,INR,34018000,1,26006,Standalone
