"id","company_name","sector","sub_sector","created_at","updated_at","dd_ticker","nse_ticker","bse_ticker","dd_index","kms_index","refinitiv_index","kms_comp_code","fiscalmonth"
1104,Alkem Laboratories Ltd.,28,30,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,ALKEM.DD,ALKEM,,1618,,103153,,3
1101,Arvind SmartSpaces Limited,72,75,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,ARVSMART.DD,ARVSMART,"539301",1628,,109393,,3
1552,Data Patterns (India) Limited,38,48,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,DATAPATTNS.DD,DATAPATTNS,"543428",28064,,130474,,3
37,Eclerx Services,31,32,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,ECLERX.DD,ECLERX,,47,,65354,,3
32701,ACME SOLAR HOLDINGS LTD,74,,2024-11-30 02:44:39.162,2024-12-17 10:00:01.572,ACMESOLAR.DD,ACMESOLAR,,368846,,115043,,0
1337,Fine Organic Industries Ltd.,38,42,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,FINEORG.DD,FINEORG,"541557",24852,,116222,,3
786,Brigade Enterprises Ltd.,72,75,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,BRIGADE.DD,BRIGADE,"532929",480,,65359,,3
1681,GO DIGIT GENERAL INS LTD,137,,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,GODIGIT.DD,GODIGIT,,77169,,134497,,3
486,Vodafone Idea Limited,68,71,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,IDEA.DD,IDEA,,52,,58741,,3
666,Alembic Pharmaceuticals Limited,28,30,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,APLLTD.DD,APLLTD,"533573",227,,87447,,3
183,Computer Age Management Services Ltd,31,33,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,CAMS.DD,CAMS,,27949,,121867,,3
1594,INOX Green Energy Services Limited,72,74,2024-09-04 10:58:18.053,2024-12-25 19:00:00.948,INOXGREEN.DD,INOXGREEN,"543667",28103,,132431,,0
1640,INOX India Ltd,38,45,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,INOXINDIA.DD,INOXINDIA,"544046",28301,,137671,,3
1312,Intellect Design Arena Ltd,31,37,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,INTELLECT.DD,INTELLECT,"538835",4107,,101974,,3
1327,Carysil Ltd,7,11,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,CARYSIL.DD,CARYSIL,,23850,,92376,,3
484,JK Tyre & Industries Ltd,1,5,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,JKTYRE.DD,JKTYRE,,56,,26145,,6
1628,JSW Infrastructure Limited.,64,65,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,JSWINFRA.DD,JSWINFRA,,28264,,136752,,3
1384,Jubilant Ingrevia Limited,38,42,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,JUBLINGREA.DD,JUBLINGREA,"543271",28085,,128975,,3
1440,KPIT Technologies Ltd,31,36,2024-09-04 10:58:18.053,2024-12-25 19:00:00.948,KPITTECH.DD,KPITTECH,"542651",27951,,119503,,0
802,Cholamandalam Investment & Finance Company Ltd.,20,23,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,CHOLAFIN.DD,CHOLAFIN,,519,,50880,,3
1497,Krsnaa Diagnostics Ltd,28,86,2024-09-04 10:58:18.053,2025-01-02 10:30:37.360,KRSNAA.DD,KRSNAA,"543328",28009,,128610,,3
144,Mahanagar Gas Ltd.,60,63,2024-09-04 10:58:18.053,2025-01-02 10:30:32.529,MGL.DD,MGL,"539957",249,,98072,,3
947,Info Edge (India) Ltd,31,34,2024-09-04 10:58:18.053,2025-01-02 10:30:27.925,NAUKRI.DD,NAUKRI,,1113,,53348,,3
