"Name","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
ADF Foods Ltd,2,"2024-09-30",1,1,RNTS,1613.928,Net Sales,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,10,SREV,1613.928,Revenue,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,31,RTLR,1613.928,Total Revenue,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,34,ECOR,893.232,Cost of Revenue,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,36,SCOR,893.232,"Cost of Revenue, Total",M,1,1
ADF Foods Ltd,2,"2024-09-30",1,37,SGRP,720.696,Gross Profit,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,57,EDEP,45.296,Depreciation,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,60,SDPR,45.296,Depreciation/Amortization,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,80,EOOE,443.84,Other Operating Expense,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,82,SOOE,443.84,"Other Operating Expenses, Total",M,1,1
ADF Foods Ltd,2,"2024-09-30",1,83,ETOE,1382.368,Total Operating Expense,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,84,SOPI,231.56,Operating Income,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,89,NINV,4.97,Investment Income - Non-Operating,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,90,SIIN,4.97,Interest/Invest Income -  Non-Operating,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,126,NONT,24.773,Other Non-Operating Income (Expense),M,1,1
ADF Foods Ltd,2,"2024-09-30",1,127,SONT,24.773,"Other, Net",M,1,1
ADF Foods Ltd,2,"2024-09-30",1,128,EIBT,261.303,Net Income Before Taxes,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,129,TTAX,64.602,Provision for Income Taxes,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,130,TIAT,196.701,Net Income After Taxes,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,131,CMIN,0.0,Minority Interest,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,134,NIBX,196.701,Net Income Before Extra. Items,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,140,NINC,196.701,Net Income,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,147,CIAC,196.701,Income Available to Com Excl ExtraOrd,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,148,XNIC,196.701,Income Available to Com Incl ExtraOrd,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,149,SBAS,109.88883,Basic Weighted Average Shares,M,0,1
ADF Foods Ltd,2,"2024-09-30",1,150,SBBF,1.79,Basic EPS Excluding Extraordinary Items,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,151,SBAI,1.79,Basic EPS Including Extraordinary Items,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,153,SDNI,196.701,Diluted Net Income,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,154,SDWS,109.88883,Diluted Weighted Average Shares,M,0,1
ADF Foods Ltd,2,"2024-09-30",1,155,SDBF,1.79,Diluted EPS Excluding ExtraOrd Items,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,156,SDAI,1.79,Diluted EPS Including ExtraOrd Items,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,157,DDPS1,0.6,DPS - Common Stock Primary Issue,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,173,VDEP,45.296,"Depreciation, Supplemental",M,1,1
ADF Foods Ltd,2,"2024-09-30",1,176,VPTI,261.303,Normalized Income Before Taxes,M,1,1
ADF Foods Ltd,2,"2024-09-30",1,178,VITN,64.602,Inc Tax Ex Impact of Sp Items,M,1,1
